sst,age,11,13,14,15,16,18
2.778559278,64.7,0.1232493,0.473389356,0.049486461,0.059757236,0.068160598,0.225957049
1.614447405,65.9,0.126329787,0.535904255,0.035239362,0.037898936,0.113031915,0.151595745
2.487420419,192.5,0.132048966,0.235400361,0.072245635,0.111780052,0.0692354,0.379289585
1.802975331,601.7,0.114792899,0.151873767,0.14122288,0.151084813,0.052465483,0.388560158
2.80815532,603.1,0.091649695,0.143923965,0.10454854,0.101154107,0.042769857,0.515953836
3.319262022,893.7,0.114625977,0.11183476,0.207480461,0.152214365,0.073502047,0.340342389
1.717704486,1244.8,0.064031438,0.050855294,0.089921405,0.043920481,0.105871475,0.645399908
2.240529568,1357.5,0.097877358,0.149764151,0.190363881,0.147237197,0.048180593,0.366576819
1.080375169,1922.7,0.154854911,0.067522321,0.258649554,0.156529018,0.032924107,0.329520089
1.493366466,2059.4,0.111111111,0.135908441,0.133524082,0.148783977,0.041010968,0.429661421
0.593680457,2061.1,0.079453067,0.10581424,0.088814979,0.092264104,0.047302291,0.586351318
1.110856733,2237.3,0.044271087,0.119258898,0.059483179,0.07810824,0.045343735,0.653534861
2.107669639,2673.6,0.086044521,0.070633562,0.181506849,0.157534247,0.064212329,0.440068493
2.107669639,2673.6,0.052782859,0.067677032,0.082048602,0.08570682,0.040501698,0.671282989
1.335900052,2870.9,0.16415718,0.06940874,0.280572898,0.200146897,0.034887991,0.250826295
1.834473071,2872.7,0.099386503,0.061840491,0.187239264,0.154601227,0.03803681,0.458895706
1.489657353,2994.3,0.133333333,0.116224189,0.182890855,0.149262537,0.079646018,0.338643068
1.990310167,2996,0.07007922,0.134673979,0.193784278,0.139244363,0.087446679,0.374771481
1.718458312,3206.3,0.030703459,0.023707734,0.034978624,0.067236689,0.008161679,0.835211815
1.32397759,3531.1,0.11113441,0.042985951,0.176347243,0.169217865,0.020549381,0.47976515
1.32397759,3531.1,0.135957066,0.046511628,0.162194395,0.163387001,0.032200358,0.459749553
0.916216477,3727.2,0.110493398,0.111188325,0.128561501,0.216817234,0.031271716,0.401667825
1.930483582,3729,0.113189601,0.07736208,0.146797717,0.218769816,0.03170577,0.412175016
1.977439216,3864.7,0.137302134,0.087061253,0.224707502,0.151410874,0.031658637,0.367859601
1.666273627,4022.7,0.230769231,0.079881657,0.215976331,0.091715976,0.041420118,0.340236686
0.880313377,4520.5,0.041023277,0.039179534,0.059460705,0.029269417,0.066605209,0.764461858
2.070133373,4612.4,0.110160631,0.054082312,0.158825207,0.119095143,0.01948484,0.538351868
1.530228665,5007.4,0.126940324,0.048982408,0.187305968,0.107968265,0.029320455,0.49948258
1.865473531,5008.5,0.1400818,0.035787321,0.307770961,0.235173824,0.021472393,0.259713701
0.993536664,5402.7,0.060789776,0.028674422,0.118466328,0.146485335,0.014419138,0.631165001
2.962201274,5551.9,0.117892708,0.119820109,0.16350787,0.114680373,0.045293929,0.438805011
0.83825743,5910.7,0.097668441,0.090875711,0.140627869,0.111804663,0.037084634,0.521938682
0.507769524,6097,0.063697254,0.159544541,0.037106497,0.111520429,0.033824514,0.594306765
1.943551022,6098.4,0.053135889,0.099738676,0.033536585,0.120644599,0.092334495,0.600609756
1.186757808,6571.4,0.108482523,0.129582268,0.148124467,0.140025575,0.061167945,0.412617221
1.06757267,6649.5,0.105902778,0.097222222,0.144675926,0.112268519,0.063657407,0.476273148
2.067609216,7140.6,0.113784666,0.143556281,0.147634584,0.147226754,0.060358891,0.387438825
1.564717767,7250.1,0.03777905,0.02956088,0.055401096,0.053970071,0.009281217,0.814007687
1.434465876,7737.5,0.110259301,0.103043968,0.165952649,0.120180383,0.059301015,0.441262683
2.570063636,7837.3,0.164711573,0.130608296,0.194944975,0.120328939,0.058048132,0.331358084
2.197741295,7837.7,0.138604985,0.143535951,0.146853147,0.121750045,0.050475166,0.398780706
1.785396808,7906.6,0.194968553,0.101387985,0.237584038,0.140641943,0.050965083,0.274452396
1.785396808,7906.6,0.20442166,0.122396668,0.233578981,0.130406921,0.058314643,0.250881128
1.200611188,7907.6,0.145072698,0.111362412,0.195368875,0.133441034,0.06914378,0.345611201
1.122730501,8050.3,0.10472103,0.106008584,0.132188841,0.146781116,0.038769671,0.471530758
1.122730501,8050.3,0.093705799,0.107142857,0.139674682,0.147807638,0.045615276,0.466053748
1.102979595,8116.8,0.125835721,0.090496657,0.205348615,0.154489016,0.04321872,0.38061127
0.484969696,8118,0.123671064,0.149737415,0.107275522,0.116241834,0.051684386,0.451389778
0.98597964,8184.2,0.097511769,0.093140551,0.234028245,0.217888366,0.04404842,0.31338265
1.036043881,8184.6,0.058140348,0.110753516,0.078150143,0.114181767,0.03386273,0.604911495
0.745380163,8246.5,0.112845138,0.102440976,0.218887555,0.194477791,0.092036815,0.279311725
1.154688615,8246.9,0.147294849,0.155578566,0.127879886,0.1208905,0.058503754,0.389852446
1.247681876,8324.3,0.132874728,0.248732802,0.111513396,0.093410572,0.050687907,0.362780594
2.331229974,8496.3,0.149367089,0.106329114,0.050632911,0.091139241,0.073417722,0.529113924
1.465840111,8497.5,0.136502791,0.144786602,0.135962543,0.117954259,0.04249955,0.422294255
1.477910347,8597.8,0.212518195,0.101892285,0.158660844,0.08588064,0.161572052,0.279475983
1.054076417,8695.7,0.099036725,0.099864539,0.099864539,0.106487056,0.025586996,0.569160144
1.054076417,8695.7,0.079017104,0.114189352,0.104312214,0.10623946,0.036617682,0.559624187
2.319192274,8820.4,0.176445542,0.14050924,0.175764285,0.095972068,0.056033382,0.355275483
3.123997714,8821.7,0.163647896,0.11663965,0.14905913,0.097892734,0.045598703,0.427161886
2.167958133,8937.3,0.018414322,0.049744246,0.020588235,0.055754476,0.013171355,0.842327366
2.755545604,9127.5,0.080052288,0.086117647,0.081620915,0.094640523,0.014797386,0.642771242
2.086701902,9229.4,0.044918569,0.072191549,0.035596371,0.08057043,0.011430791,0.75529229
2.086701902,9229.4,0.040792985,0.062396747,0.048799085,0.086415046,0.017283009,0.744313127
2.763159337,9379.7,0.092381937,0.154774216,0.165804895,0.117200965,0.070665288,0.399172699
2.566595221,9695.6,0.145047263,0.181269362,0.128524903,0.115577091,0.053618238,0.375963142
2.566595221,9695.6,0.137931034,0.197768763,0.127535497,0.105476673,0.070233266,0.361054767
2.12941902,9697.3,0.054942399,0.145895432,0.065979215,0.125352453,0.036091195,0.571739306
1.768986108,9896.3,0.101569126,0.109626802,0.156912638,0.082061069,0.022264631,0.527565734
1.929270896,9897.2,0.09733124,0.081632653,0.098901099,0.106750392,0.028257457,0.587127159
1.981433704,10089.4,0.035294494,0.028280434,0.050635749,0.039105787,0.00797489,0.838708644
1.981433704,10089.4,0.034146341,0.032881662,0.053658537,0.041282746,0.010117435,0.827913279
0.157068315,10740.2,0.194227138,0.09387645,0.208254653,0.127866199,0.02994335,0.345832209
1.869574087,10741.1,0.183882513,0.125755893,0.186227323,0.097247933,0.057386153,0.349500185
1.869574087,10741.1,0.178854357,0.139244363,0.165447898,0.103595369,0.099634369,0.313223644
3.579477594,10877.6,0.148758465,0.075620767,0.222121896,0.145146727,0.021896163,0.386455982
4.48997317,10880.1,0.14957265,0.168803419,0.070512821,0.102564103,0.074786325,0.433760684
6.461509253,11383.7,0.233870968,0.0625,0.379032258,0.169354839,0.064516129,0.090725806
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
